id,name,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,created_at,vegan,vegetarian,note
1995,Kanadé,restaurant,japanese,75101,75,48.8670569638753,2.33456023608395,2024-12-12 09:09:26,0,0,
1996,Balagan,restaurant,mediterranean,75101,75,48.8654742929181,2.32978665840758,2024-12-12 09:09:26,0,0,
1997,Kodawari Ramen (Tsukiji),restaurant,"japanese, ramen",75101,75,48.8644026665973,2.33630006772566,2024-12-12 09:09:26,0,0,
1998,Baan Boran,restaurant,,75101,75,48.8661327752314,2.33738007594957,2024-12-12 09:09:26,0,0,
1999,La Poule au Pot,restaurant,french,75101,75,48.8617831542176,2.34330423747454,2024-12-12 09:09:26,0,0,
2000,Eats Thyme,restaurant,,75101,75,48.8646884894956,2.34075387579594,2024-12-12 09:09:26,0,0,
2001,Les Marmottes,restaurant,regional,75101,75,48.8630198202118,2.34841652785815,2024-12-12 09:09:26,0,1,
2002,Bigo,restaurant,,75101,75,48.8618269915711,2.34363657993538,2024-12-12 09:09:26,0,0,
2003,Le Royal Opéra,restaurant,,75101,75,48.8660277499846,2.3340076172077,2024-12-12 09:09:26,0,0,
2004,Higuma,restaurant,japanese,75101,75,48.8666006530665,2.33577276219702,2024-12-12 09:09:26,0,0,
2005,Hakata,restaurant,japanese,75101,75,48.8671491648102,2.33492577088134,2024-12-12 09:09:26,0,0,
2006,Café Rive Droite,restaurant,,75101,75,48.8608469794521,2.34880259831832,2024-12-12 09:09:26,0,0,
2007,Le Thermidor,restaurant,,75101,75,48.8622901755405,2.33936482680204,2024-12-12 09:09:26,0,0,
2008,Self Service Food,restaurant,,75101,75,48.8643588292437,2.33051571634562,2024-12-12 09:09:26,0,0,
2009,Milo,restaurant,pizza,75101,75,48.86118736854,2.3443917894113,2024-12-12 09:09:26,0,0,
2010,Lou Lou,restaurant,italian,75101,75,48.8632547649577,2.33301922318549,2024-12-12 09:09:26,0,0,
2011,Pizzawawa,restaurant,pizza,75101,75,48.8607049900124,2.34560297441988,2024-12-12 09:09:26,0,0,
2012,Hoki Sushi,restaurant,japanese,75101,75,48.8629593866899,2.34879312676773,2024-12-12 09:09:26,0,0,
2013,Luncha,restaurant,,75101,75,48.8588719516073,2.34134429705548,2024-12-12 09:09:26,0,0,
2014,Za,restaurant,"french, european",75101,75,48.8614931178892,2.34619757807725,2024-12-12 09:09:26,0,1,
2015,Libshop,restaurant,lebanese,75101,75,48.863263398318,2.34992459987711,2024-12-12 09:09:26,0,0,
2016,Crêperie Paris Montorgueil,restaurant,crepe,75101,75,48.864050375207,2.34677442920741,2024-12-12 09:09:26,1,1,
2017,Ristorante Domenico,restaurant,italian,75101,75,48.8642335197913,2.33228723158135,2024-12-12 09:09:26,0,0,
2018,Le First,restaurant,,75101,75,48.8654910567244,2.32721584488525,2024-12-12 09:09:26,0,0,
2019,Sapporo,restaurant,,75101,75,48.8644637706715,2.33312659536514,2024-12-12 09:09:26,0,0,
2020,Zapi,restaurant,italian,75101,75,48.8651990312179,2.33053071995229,2024-12-12 09:09:26,0,0,
2021,Restaurant de la Cordonnerie,restaurant,french,75101,75,48.8654286953648,2.33237934869723,2024-12-12 09:09:26,0,0,
2022,Café Terrasse,restaurant,,75101,75,48.8659496306471,2.32375596289327,2024-12-12 09:09:26,0,0,
2023,Bistrot Du Jardin,restaurant,,75101,75,48.8617056216132,2.34413052548939,2024-12-12 09:09:26,0,0,
2024,Fondue Zhangge,restaurant,,75101,75,48.8615028633754,2.34961505619293,2024-12-12 09:09:26,0,0,
2025,Le Stube,restaurant,,75101,75,48.8652316368212,2.33652973187262,2024-12-12 09:09:26,0,0,
2026,La Crêperie Saint-Honoré,restaurant,crepe,75101,75,48.8609434551577,2.34499453206851,2024-12-12 09:09:26,0,0,
2027,point B,restaurant,burger,75101,75,48.8599359503962,2.34823732276828,2024-12-12 09:09:26,0,0,
2028,Les Halles Thaï,restaurant,thai,75101,75,48.8630831873998,2.34864879039509,2024-12-12 09:09:26,0,0,
2029,Jantchi,restaurant,,75101,75,48.8660414963058,2.33610032697305,2024-12-12 09:09:26,0,0,
2030,Have A Nice Day,restaurant,american,75101,75,48.8657273425749,2.33663919952807,2024-12-12 09:09:26,0,0,
2031,Casa Festa,restaurant,"pizza, italian",75101,75,48.8625896609409,2.34080995072819,2024-12-12 09:09:26,0,0,
2032,Ismaïl,restaurant,"indian, lebanese",75101,75,48.8647382780004,2.34062563267739,2024-12-12 09:09:26,0,0,
2033,Jip's,restaurant,"afro-cuban, tapas",75101,75,48.8601253814079,2.34814604384275,2024-12-12 09:09:26,0,0,
2034,Comptoir du Louvre,restaurant,,75101,75,48.8613516145727,2.33560767732183,2024-12-12 09:09:26,0,0,
2035,Il santo,restaurant,,75101,75,48.8620424903017,2.34872288641913,2024-12-12 09:09:26,0,0,
2036,Chez Claude,restaurant,,75101,75,48.8622616770697,2.33948074852293,2024-12-12 09:09:26,0,0,
2037,Poulet Braisé,restaurant,,75101,75,48.8616343754362,2.34843848844446,2024-12-12 09:09:26,0,0,
2038,Le Terroir,restaurant,,75101,75,48.8678726906921,2.33165322442531,2024-12-12 09:09:26,0,0,
2039,Côme Pyramides,restaurant,"bowl, pita",75101,75,48.8649551178355,2.33318049100254,2024-12-12 09:09:26,0,0,
2040,Hakata Choten,restaurant,asian,75101,75,48.8628795909717,2.34896596161116,2024-12-12 09:09:26,0,0,
2041,Le Véro Dodat,restaurant,french,75101,75,48.8628034832909,2.3401494567581,2024-12-12 09:09:26,0,0,
2042,Matsuda,restaurant,japanese,75101,75,48.8654875363251,2.33221849997531,2024-12-12 09:09:26,0,0,
2043,C'est chouette,restaurant,,75101,75,48.8593355546719,2.34459739749616,2024-12-12 09:09:26,0,0,
2044,Pink Koï,restaurant,,75101,75,48.8635475448356,2.34361118276877,2024-12-12 09:09:26,0,0,
2045,Pho ＆Poké House,restaurant,,75101,75,48.8614530748706,2.34206514072841,2024-12-12 09:09:26,0,0,
2046,La Régalade,restaurant,,75101,75,48.8616063798796,2.34196866502288,2024-12-12 09:09:26,0,0,
2047,Asian Food,restaurant,chinese,75101,75,48.8623079451752,2.34932412033376,2024-12-12 09:09:26,0,0,
2048,Sam sun,restaurant,asian,75101,75,48.865814849644,2.33672788006365,2024-12-12 09:09:26,0,0,
2049,Valois,restaurant,french,75101,75,48.8633533361391,2.33804182720513,2024-12-12 09:09:26,0,0,
2050,Mumi,restaurant,,75101,75,48.8620120639932,2.34259487700899,2024-12-12 09:09:26,0,0,
2051,Le Louis,restaurant,french,75101,75,48.8642594198721,2.34133273002911,2024-12-12 09:09:26,0,0,
2052,L'Assagio,restaurant,italian,75101,75,48.8685075360385,2.32692893233963,2024-12-12 09:09:26,0,0,
2053,Le Louchébem,restaurant,french,75101,75,48.861644266082,2.34438734700262,2024-12-12 09:09:26,0,0,
2054,Laouz Paris,restaurant,,75101,75,48.8618561605942,2.34088664514221,2024-12-12 09:09:26,0,0,
2055,Gambino,restaurant,italian,75101,75,48.8673771525765,2.33298544411571,2024-12-12 09:09:26,0,0,
2056,Ban Bua Thai,restaurant,,75101,75,48.8652962612947,2.33674313512742,2024-12-12 09:09:26,0,0,
2057,Carthage,restaurant,turkish,75101,75,48.8599973897464,2.34810128447978,2024-12-12 09:09:26,0,0,
2058,Le Bar Du Caveau,restaurant,,75101,75,48.8564178979962,2.34216253844329,2024-12-12 09:09:26,0,0,
2059,Takara,restaurant,,75101,75,48.865022340699,2.3357721754638,2024-12-12 09:09:26,0,0,
2060,Postiche,restaurant,french,75101,75,48.864095386027,2.34380229016114,2024-12-12 09:09:26,0,0,
2061,Nelson's,restaurant,french,75101,75,48.8636803980009,2.34312193108053,2024-12-12 09:09:26,0,0,
2062,Palais Royal Hong-Kong,restaurant,chinese,75101,75,48.8622684664113,2.33988877956941,2024-12-12 09:09:26,0,0,
2063,Astara,restaurant,"seafood, fish",75101,75,48.8662239703379,2.33881095064032,2024-12-12 09:09:26,0,0,
2064,Café des Tuileries,restaurant,,75101,75,48.8645461647797,2.33006183628879,2024-12-12 09:09:26,0,0,
2065,Crudus,restaurant,italian,75101,75,48.8655425216099,2.33225605090155,2024-12-12 09:09:26,0,0,
2066,Caepus,restaurant,,75101,75,48.8683025985059,2.32568313007093,2024-12-12 09:09:26,0,0,
2067,Judy,restaurant,organic,75101,75,48.8624515271766,2.34053267737119,2024-12-12 09:09:26,0,0,
2068,Tao,restaurant,asian,75101,75,48.8583595658663,2.34756987181859,2024-12-12 09:09:26,0,0,
2069,Fellini,restaurant,italian,75101,75,48.8612229916285,2.34237745044067,2024-12-12 09:09:26,0,0,
2070,Poppy,restaurant,,75101,75,48.8635889514373,2.34347262990931,2024-12-12 09:09:26,0,0,
