restaurant_name,address,phone_number,reviews_count,reviews_average,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,vegan,vegetarian
les deux stations,"131 Boulevard Exelmans, 75016 Paris",01 46 51 89 19,945,4.0,restaurant,,75116,75,48.8473333398796,2.25885966430556,0,0
balagan,"9 Rue d'Alger, 75001 Paris",,1420,4.5,restaurant,mediterranean,75101,75,48.8654742929181,2.32978665840758,0,0
baan boran,"43 Rue de Montpensier, 75001 Paris",01 40 15 90 45,289,4.2,restaurant,,75101,75,48.8661327752314,2.33738007594957,0,0
eats thyme,"44 Rue Coquillière, 75001 Paris",01 42 33 21 15,666,4.3,restaurant,,75101,75,48.8646884894956,2.34075387579594,0,0
les marmottes,"26 Rue de la Grande Truanderie, 75001 Paris",07 49 39 47 74,3085,4.3,restaurant,regional,75101,75,48.8630198202118,2.34841652785815,0,1
higuma,"32bis Rue Sainte-Anne, 75001 Paris",01 47 03 38 59,6417,4.2,restaurant,japanese,75101,75,48.8666006530665,2.33577276219702,0,0
café rive droite,"2 Rue Berger, 75001 Paris",01 42 33 81 62,4353,3.5,restaurant,,75101,75,48.8608469794521,2.34880259831832,0,0
lou lou,"107 Rue de Rivoli, 75001 Paris",01 42 60 41 96,3017,4.1,restaurant,italian,75101,75,48.8632547649577,2.33301922318549,0,0
luncha,"16 Quai du Louvre, 75001 Paris",01 42 33 32 14,9,4.7,restaurant,,75101,75,48.8588719516073,2.34134429705548,0,0
za,"Forum des Halles, Pass. de la Canopée, 75001 Paris",01 77 37 77 37,321,3.4,restaurant,"french, european",75101,75,48.8614931178892,2.34619757807725,0,1
libshop,"96 Rue St Denis, 75001 Paris",01 42 33 41 07,717,4.3,restaurant,lebanese,75101,75,48.863263398318,2.34992459987711,0,0
le first,"55 Av. Pierre Brossolette, 92120 Montrouge",09 77 71 92 87,655,4.7,restaurant,,75101,75,48.8654910567244,2.32721584488525,0,0
sapporo,"276 Rue Saint-Honoré, 75001 Paris",01 40 15 98 66,2255,4.2,restaurant,,75101,75,48.8644637706715,2.33312659536514,0,0
zapi,"7 Rue du 29 Juillet, 75001 Paris",01 83 87 23 52,1286,4.5,restaurant,italian,75101,75,48.8651990312179,2.33053071995229,0,0
restaurant de la cordonnerie,"20 Rue Saint-Roch, 75001 Paris",01 42 60 17 42,343,4.7,restaurant,french,75101,75,48.8654286953648,2.33237934869723,0,0
le stube,"31 Rue de Richelieu, 75001 Paris",01 42 60 09 85,843,4.4,restaurant,,75101,75,48.8652316368212,2.33652973187262,0,0
la crêperie saint-honoré,"24 Rue du Pont Neuf Angle, Rue Saint-Honoré, 75001 Paris",09 65 12 87 33,1440,3.8,restaurant,crepe,75101,75,48.8609434551577,2.34499453206851,0,0
point b,"26 Rue St Denis, 75001 Paris",,1060,4.5,restaurant,burger,75101,75,48.8599359503962,2.34823732276828,0,0
les halles thaï,"15 Rue Pierre Lescot, 75001 Paris",01 45 08 48 15,246,3.9,restaurant,thai,75101,75,48.8630831873998,2.34864879039509,0,0
jantchi,"6 Rue Thérèse, 75001 Paris",01 40 15 91 07,3121,4.4,restaurant,,75101,75,48.8660414963058,2.33610032697305,0,0
have a nice day,"39 Rue de Richelieu, 75001 Paris",01 40 28 04 20,566,4.2,restaurant,american,75101,75,48.8657273425749,2.33663919952807,0,0
casa festa,"16 Rue Jean-Jacques Rousseau, 75001 Paris",01 42 36 11 57,1893,4.6,restaurant,"pizza, italian",75101,75,48.8625896609409,2.34080995072819,0,0
jip's,"41 Rue St Denis, 75001 Paris",01 42 21 88 74,1269,3.8,restaurant,"afro-cuban, tapas",75101,75,48.8601253814079,2.34814604384275,0,0
comptoir du louvre,"Musée du Louvre, 75001 Paris",01 40 20 53 20,79,3.4,restaurant,,75101,75,48.8613516145727,2.33560767732183,0,0
il santo,"12 Rue des Prêcheurs, 75001 Paris",01 40 13 90 60,66,4.7,restaurant,,75101,75,48.8620424903017,2.34872288641913,0,0
chez claude,"166 Rue Saint-Honoré, 75001 Paris",01 42 60 20 14,1198,4.1,restaurant,,75101,75,48.8622616770697,2.33948074852293,0,0
côme pyramides,"12 Rue des Pyramides, 75001 Paris",01 40 41 05 21,110,4.4,restaurant,"bowl, pita",75101,75,48.8649551178355,2.33318049100254,0,0
le véro dodat,"19 Gal Véro-Dodat, 75001 Paris",06 30 85 34 45,270,4.7,restaurant,french,75101,75,48.8628034832909,2.3401494567581,0,0
pink koï,"8 Rue Coquillière, 75001 Paris",01 42 33 67 93,46,5.0,restaurant,,75101,75,48.8635475448356,2.34361118276877,0,0
pho ＆poké house,"117 Rue Saint-Honoré, 75001 Paris",09 83 53 23 47,274,4.6,restaurant,,75101,75,48.8614530748706,2.34206514072841,0,0
valois,"1 Pl. Rio de Janeiro, 75008 Paris",01 42 25 03 85,1110,4.0,restaurant,french,75101,75,48.8633533361391,2.33804182720513,0,0
mumi,"14 Rue Sauval, 75001 Paris",01 40 26 27 54,554,4.7,restaurant,,75101,75,48.8620120639932,2.34259487700899,0,0
le louchébem,"31 Rue Berger angle, 10 Rue des Prouvaires, 75001 Paris",01 42 33 12 99,3146,4.2,restaurant,french,75101,75,48.861644266082,2.34438734700262,0,0
gambino,"6 Rue Gomboust, 75001 Paris",01 42 60 12 70,1598,4.3,restaurant,italian,75101,75,48.8673771525765,2.33298544411571,0,0
ban bua thai,"28 bis Rue de Richelieu, 75001 Paris",01 42 33 18 92,561,4.2,restaurant,,75101,75,48.8652962612947,2.33674313512742,0,0
takara,"14 Rue Molière, 75001 Paris",01 42 96 08 38,915,4.4,restaurant,,75101,75,48.865022340699,2.3357721754638,0,0
postiche,"62 Rue Jean-Jacques Rousseau, 75001 Paris",01 40 28 99 04,712,4.6,restaurant,french,75101,75,48.864095386027,2.34380229016114,0,0
nelson's,"16 Rue Coquillière, 75001 Paris",01 42 36 74 24,3497,4.2,restaurant,french,75101,75,48.8636803980009,2.34312193108053,0,0
palais royal hong-kong,"3 Rue Jean-Jacques Rousseau, 75001 Paris",01 42 60 25 58,190,4.2,restaurant,chinese,75101,75,48.8622684664113,2.33988877956941,0,0
astara,"7 Rue des Petits Champs, 75001 Paris",09 74 19 76 70,328,4.8,restaurant,"seafood, fish",75101,75,48.8662239703379,2.33881095064032,0,0
